,TeamId,TeamName,Week_1_score,Week_2_score,Week_3_score,Week_4_score,Week_5_score,Week_6_score,Week_7_score
0,1,Looking for Luck,154.58,134.78,156.32,189.04,179.58,139.5,73.36
2,2,Moose,122.44,96.14,115.56,96.72,139.48,115.72,124.48
4,3,Joe's Minions,163.42,162.16,154.8,103.74,159.56,133.84,170.58
6,4,Armchair Quarterback,135.64,119.64,145.48,116.9,90.98,69.22,85.5
8,5,Living on a Prater,94.7,91.22,156.64,107.54,124.56,96.84,155.32
7,6,The Ominous Fog,141.18,118.46,127.1,87.68,160.34,161.94,105.58
5,7,Roger Rodgers!,130.68,173.7,135.84,150.38,149.22,165.66,117.08
3,8,Papa Jayy,134.96,114.3,147.8,99.0,115.58,109.3,126.3
1,9,Zwe Min Htet's Team,135.66,127.08,111.08,156.28,176.58,148.74,111.32
9,10,The Hooligans,128.38,98.28,142.82,129.6,162.78,103.52,141.74
