,League,Team,Week,Time,Name,PlayerPos,ActivePos,RealScore,ProjScore,PctPlayed
1121,910981,7,5,0,Antonio Brown,WR,WR,24.1,16.39,100.0
1122,910981,7,5,0,Michael Thomas,WR,WR,7.4,13.0,99.0
1123,910981,7,5,0,Jarvis Landry,WR,WR,6.9,8.44,81.0
1135,910981,9,5,0,Amari Cooper,WR,WR,1.0,9.19,75.0
1136,910981,9,5,0,Marvin Jones Jr.,WR,WR,6.8,8.75,41.0
1137,910981,9,5,0,Mike Williams,WR,WR,4.8,7.9,31.0
1149,910981,4,5,0,Julio Jones,WR,WR,6.2,15.81,99.0
1150,910981,4,5,0,Robert Woods,WR,WR,14.5,9.37,79.0
1151,910981,4,5,0,Cooper Kupp,WR,WR,15.0,9.09,75.0
1164,910981,8,5,0,Josh Gordon,WR,WR,11.0,8.45,35.0
1165,910981,8,5,0,Devin Funchess,WR,WR,5.3,8.27,37.0
1166,910981,8,5,0,Tyler Boyd,WR,WR,4.4,8.03,59.0
1178,910981,5,5,0,DeAndre Hopkins,WR,WR,15.1,12.89,99.0
1179,910981,5,5,0,Golden Tate,WR,WR,4.2,9.97,90.0
1180,910981,5,5,0,Will Fuller V,WR,WR,1.5,8.6,49.0
1192,910981,3,5,0,Tyreek Hill,WR,WR,8.7,10.93,93.0
1193,910981,3,5,0,JuJu Smith-Schuster,WR,WR,9.4,10.6,96.0
1194,910981,3,5,0,Kenny Golladay,WR,WR,15.8,8.9,54.0
1206,910981,2,5,0,Keenan Allen,WR,WR,9.5,11.4,97.0
1207,910981,2,5,0,Chris Hogan,WR,WR,3.4,6.19,25.0
1208,910981,2,5,0,Kenny Stills,WR,WR,1.7,7.18,28.0
1220,910981,1,5,0,A.J. Green,WR,WR,13.2,11.43,99.0
1221,910981,1,5,0,Brandin Cooks,WR,WR,0.0,10.28,90.0
1222,910981,1,5,0,Demaryius Thomas,WR,WR,18.5,8.07,52.0
1234,910981,10,5,0,Odell Beckham Jr.,WR,WR,25.38,12.07,98.0
1235,910981,10,5,0,Larry Fitzgerald,WR,WR,3.5,7.9,36.0
1236,910981,10,5,0,John Brown,WR,WR,5.8,7.89,54.0
1247,910981,11,5,0,Stefon Diggs,WR,WR,11.6,10.8,97.0
1248,910981,11,5,0,Corey Davis,WR,WR,4.9,8.91,64.0
1249,910981,11,5,0,Davante Adams,WR,WR,22.0,9.77,93.0
1261,729457,2,5,0,Adam Thielen,WR,WR,19.6,11.93,98.0
1262,729457,2,5,0,Kenny Golladay,WR,WR,15.8,8.9,54.0
1263,729457,2,5,0,Devin Funchess,WR,WR,5.3,8.27,37.0
1275,729457,10,5,0,Keelan Cole,WR,WR,7.0,7.89,20.0
1276,729457,10,5,0,Doug Baldwin,WR,WR,0.1,8.17,36.0
1277,729457,10,5,0,Jordy Nelson,WR,WR,10.3,7.01,36.0
1289,729457,6,5,0,A.J. Green,WR,WR,13.2,11.43,99.0
1290,729457,6,5,0,Michael Crabtree,WR,WR,6.6,7.52,28.0
1291,729457,6,5,0,Sterling Shepard,WR,WR,7.5,8.24,35.0
1303,729457,4,5,0,Julio Jones,WR,WR,6.2,15.81,99.0
1304,729457,4,5,0,Tyreek Hill,WR,WR,8.7,10.93,93.0
1305,729457,4,5,0,Calvin Ridley,WR,WR,3.8,8.05,79.0
1317,729457,8,5,0,Michael Thomas,WR,WR,7.4,13.0,99.0
1318,729457,8,5,0,Tyler Lockett,WR,WR,16.4,7.49,29.0
1319,729457,8,5,0,Brandin Cooks,WR,WR,0.0,10.28,90.0
1331,729457,7,5,0,Keenan Allen,WR,WR,9.5,11.4,97.0
1332,729457,7,5,0,JuJu Smith-Schuster,WR,WR,9.4,10.6,96.0
1333,729457,7,5,0,Mike Williams,WR,WR,4.8,7.9,31.0
1345,729457,1,5,0,Antonio Brown,WR,WR,24.1,16.39,100.0
1346,729457,1,5,0,Stefon Diggs,WR,WR,11.6,10.8,97.0
1347,729457,1,5,0,Robert Woods,WR,WR,14.5,9.37,79.0
1359,729457,9,5,0,DeAndre Hopkins,WR,WR,15.1,12.89,99.0
1360,729457,9,5,0,Tyler Boyd,WR,WR,4.4,8.03,59.0
1361,729457,9,5,0,Marvin Jones Jr.,WR,WR,6.8,8.75,41.0
1373,729457,5,5,0,Davante Adams,WR,WR,22.0,9.77,93.0
1374,729457,5,5,0,Golden Tate,WR,WR,4.2,9.97,90.0
1375,729457,5,5,0,Jarvis Landry,WR,WR,6.9,8.44,81.0
1387,729457,11,5,0,Emmanuel Sanders,WR,WR,7.2,8.25,64.0
1388,729457,11,5,0,Cooper Kupp,WR,WR,15.0,9.09,75.0
1389,729457,11,5,0,Dede Westbrook,WR,WR,5.5,8.18,30.0
