League,Team,RealScore,ProjScore,PctPlayed
729457,1,50.2,36.56,276.0
729457,2,40.7,29.099999999999998,189.0
729457,4,18.7,34.790000000000006,271.0
729457,5,33.1,28.18,264.0
729457,6,27.299999999999997,27.189999999999998,162.0
729457,7,23.7,29.9,224.0
729457,8,23.799999999999997,30.770000000000003,218.0
729457,9,26.3,29.67,199.0
729457,10,17.4,23.07,92.0
729457,11,27.7,25.52,169.0
910981,1,31.7,29.78,241.0
910981,2,14.6,24.77,150.0
910981,3,33.900000000000006,30.43,243.0
910981,4,35.7,34.269999999999996,253.0
910981,5,20.8,31.46,238.0
910981,7,38.4,37.83,280.0
910981,8,20.700000000000003,24.75,131.0
910981,9,12.6,25.839999999999996,147.0
910981,10,34.68,27.86,188.0
910981,11,38.5,29.48,254.0
