,PlayerName,Slot,ActivePos,RealScore,ProjScore,PctStart,UniqueID,Week
0,Kyler Murray,QB,QB,24.62,18.8,28.0,609682_1,1
1,Davante Adams,WR,WR,5.6,15.82,98.0,609682_1,1
2,Tyreek Hill,WR,WR,3.1,15.64,97.0,609682_1,1
3,Christian McCaffrey,RB,RB,39.9,19.06,100.0,609682_1,1
4,Chris Carson,RB,RB,21.0,14.96,88.0,609682_1,1
5,Evan Engram,TE,TE,25.1,10.25,92.0,609682_1,1
6,Kenny Golladay,WR,W/R/T,12.2,12.84,85.0,609682_1,1
7,Jameis Winston,QB,Q/W/R/T,8.06,22.01,39.0,609682_1,1
8,Cooper Kupp,WR,BN,8.1,9.32,54.0,609682_1,1
9,Tevin Coleman,RB,BN,6.6,11.71,45.0,609682_1,1
10,Marvin Jones Jr.,WR,BN,8.0,9.98,22.0,609682_1,1
11,Jimmy Garoppolo,QB,BN,10.44,20.18,10.0,609682_1,1
12,Wil Lutz,K,K,15.0,9.22,95.0,609682_1,1
13,Cleveland,DEF,DEF,0.0,8.57,84.0,609682_1,1
0,Aaron Rodgers,QB,QB,13.92,21.08,83.0,609682_10,1
1,Allen Robinson II,WR,WR,15.7,10.58,62.0,609682_10,1
2,Josh Gordon,WR,WR,15.8,12.22,55.0,609682_10,1
3,James Conner,RB,RB,8.5,15.96,98.0,609682_10,1
4,Aaron Jones,RB,RB,4.4,13.63,88.0,609682_10,1
5,George Kittle,TE,TE,9.4,12.95,98.0,609682_10,1
6,Mark Ingram II,RB,W/R/T,25.7,13.26,84.0,609682_10,1
7,Josh Allen,QB,Q/W/R/T,16.96,18.03,6.0,609682_10,1
8,Antonio Brown,WR,BN,0.0,0.0,10.0,609682_10,1
9,David Montgomery,RB,BN,5.0,11.25,73.0,609682_10,1
10,A.J. Green,WR,BN,0.0,0.0,1.0,609682_10,1
11,Larry Fitzgerald,WR,BN,25.3,9.11,24.0,609682_10,1
12,Harrison Butker,K,K,17.0,8.99,97.0,609682_10,1
13,Philadelphia,DEF,DEF,1.0,9.26,71.0,609682_10,1
0,Drew Brees,QB,QB,25.8,21.04,79.0,609682_2,1
1,JuJu Smith-Schuster,WR,WR,10.8,16.13,99.0,609682_2,1
2,Stefon Diggs,WR,WR,4.7,12.46,86.0,609682_2,1
3,Alvin Kamara,RB,RB,21.4,20.82,100.0,609682_2,1
4,Sony Michel,RB,RB,1.4,11.02,69.0,609682_2,1
5,Delanie Walker,TE,TE,20.0,8.3,41.0,609682_2,1
6,Tarik Cohen,RB,W/R/T,8.9,11.51,47.0,609682_2,1
7,Jared Goff,QB,Q/W/R/T,10.44,21.08,60.0,609682_2,1
8,Sterling Shepard,WR,BN,7.2,10.71,27.0,609682_2,1
9,Alshon Jeffery,WR,BN,19.6,10.98,54.0,609682_2,1
10,Calvin Ridley,WR,BN,14.4,10.67,54.0,609682_2,1
11,Kyle Rudolph,TE,BN,0.0,8.36,26.0,609682_2,1
12,Adam Vinatieri,K,K,3.0,8.07,30.0,609682_2,1
13,Minnesota,DEF,DEF,16.0,6.92,77.0,609682_2,1
0,Lamar Jackson,QB,QB,35.56,21.08,48.0,609682_9,1
1,Michael Thomas,WR,WR,19.3,16.04,100.0,609682_9,1
2,None,WR,WR,0.0,0.0,0.0,609682_9,1
3,Nick Chubb,RB,RB,10.0,17.08,99.0,609682_9,1
4,David Johnson,RB,RB,22.7,17.19,99.0,609682_9,1
5,Travis Kelce,TE,TE,12.3,13.91,99.0,609682_9,1
6,Robert Woods,WR,W/R/T,12.6,12.96,93.0,609682_9,1
7,Miles Sanders,RB,Q/W/R/T,3.2,7.7,19.0,609682_9,1
8,Christian Kirk,WR,BN,8.4,10.13,25.0,609682_9,1
9,Will Fuller V,WR,BN,8.9,9.69,31.0,609682_9,1
10,Mark Andrews,TE,BN,22.8,7.31,26.0,609682_9,1
11,Matt Breida,RB,BN,3.7,10.67,24.0,609682_9,1
12,Adam Humphries,WR,BN,1.0,8.02,1.0,609682_9,1
13,Justin Tucker,K,K,11.0,10.16,99.0,609682_9,1
14,Los Angeles,DEF,DEF,9.0,6.84,84.0,609682_9,1
0,Dak Prescott,QB,QB,37.4,20.57,32.0,609682_3,1
1,Julio Jones,WR,WR,12.1,16.34,99.0,609682_3,1
2,T.Y. Hilton,WR,WR,24.7,10.89,76.0,609682_3,1
3,Saquon Barkley,RB,RB,18.9,21.34,100.0,609682_3,1
4,Dalvin Cook,RB,RB,27.0,16.64,99.0,609682_3,1
5,Austin Hooper,TE,TE,12.2,8.17,41.0,609682_3,1
6,Robby Anderson,WR,W/R/T,3.8,10.49,30.0,609682_3,1
7,Kirk Cousins,QB,Q/W/R/T,14.32,19.53,17.0,609682_3,1
8,Kerryon Johnson,RB,BN,7.2,14.74,93.0,609682_3,1
9,O.J. Howard,TE,BN,3.2,10.51,93.0,609682_3,1
10,Damien Williams,RB,BN,15.5,14.24,89.0,609682_3,1
11,Marquez Valdes-Scantling,WR,BN,8.2,7.72,6.0,609682_3,1
12,Ka'imi Fairbairn,K,K,4.0,9.06,90.0,609682_3,1
13,Chicago,DEF,DEF,9.0,7.66,89.0,609682_3,1
0,Carson Wentz,QB,QB,27.02,20.47,79.0,609682_8,1
1,DeAndre Hopkins,WR,WR,29.1,16.53,100.0,609682_8,1
2,Brandin Cooks,WR,WR,4.9,13.15,92.0,609682_8,1
3,Le'Veon Bell,RB,RB,20.2,16.38,99.0,609682_8,1
4,James White,RB,RB,10.7,11.94,53.0,609682_8,1
5,Eric Ebron,TE,TE,1.3,6.35,29.0,609682_8,1
6,DJ Moore,WR,W/R/T,9.1,11.17,54.0,609682_8,1
7,Tom Brady,QB,Q/W/R/T,27.64,21.38,39.0,609682_8,1
8,Latavius Murray,RB,BN,11.7,9.29,13.0,609682_8,1
9,Corey Davis,WR,BN,0.0,9.93,18.0,609682_8,1
10,Austin Ekeler,RB,BN,37.4,14.31,64.0,609682_8,1
11,DeSean Jackson,WR,BN,35.4,9.4,15.0,609682_8,1
12,Brett Maher,K,K,5.0,9.05,56.0,609682_8,1
13,Denver,DEF,DEF,0.0,8.24,41.0,609682_8,1
0,Patrick Mahomes,QB,QB,33.32,24.43,98.0,609682_4,1
1,Keenan Allen,WR,WR,24.3,13.96,98.0,609682_4,1
2,Mike Williams,WR,WR,3.9,11.46,70.0,609682_4,1
3,Todd Gurley II,RB,RB,10.6,15.82,97.0,609682_4,1
4,Joe Mixon,RB,RB,2.7,15.05,94.0,609682_4,1
5,Zach Ertz,TE,TE,7.9,12.68,98.0,609682_4,1
6,Duke Johnson,RB,W/R/T,11.0,12.76,58.0,609682_4,1
7,Philip Rivers,QB,Q/W/R/T,25.92,19.74,29.0,609682_4,1
8,Jordan Howard,RB,BN,6.5,8.9,15.0,609682_4,1
9,Dede Westbrook,WR,BN,11.7,11.18,45.0,609682_4,1
10,Marquise Brown,WR,BN,32.7,7.31,3.0,609682_4,1
11,Andy Dalton,QB,BN,23.72,16.62,1.0,609682_4,1
12,Jason Myers,K,K,3.0,9.5,62.0,609682_4,1
13,Baltimore,DEF,DEF,13.0,9.77,94.0,609682_4,1
0,Baker Mayfield,QB,QB,11.4,21.7,89.0,609682_7,1
1,Julian Edelman,WR,WR,13.38,13.06,92.0,609682_7,1
2,Chris Godwin,WR,WR,12.8,12.06,86.0,609682_7,1
3,Derrick Henry,RB,RB,29.4,12.35,83.0,609682_7,1
4,Leonard Fournette,RB,RB,9.4,15.23,94.0,609682_7,1
5,Vance McDonald,TE,TE,5.0,8.96,73.0,609682_7,1
6,Curtis Samuel,WR,W/R/T,4.7,10.28,25.0,609682_7,1
7,Russell Wilson,QB,Q/W/R/T,18.6,21.1,76.0,609682_7,1
8,Derrius Guice,RB,BN,5.3,10.92,21.0,609682_7,1
9,Mitchell Trubisky,QB,BN,9.22,20.52,16.0,609682_7,1
10,Dion Lewis,RB,BN,2.8,8.67,4.0,609682_7,1
11,Emmanuel Sanders,WR,BN,18.1,10.22,24.0,609682_7,1
12,Stephen Gostkowski,K,K,16.0,9.04,97.0,609682_7,1
13,New England,DEF,DEF,10.0,6.89,57.0,609682_7,1
0,Cam Newton,QB,QB,6.36,20.94,58.0,609682_5,1
1,Adam Thielen,WR,WR,11.8,14.8,97.0,609682_5,1
2,Jarvis Landry,WR,WR,9.7,10.64,59.0,609682_5,1
3,Ezekiel Elliott,RB,RB,12.8,16.07,97.0,609682_5,1
4,Kenyan Drake,RB,RB,3.7,9.58,22.0,609682_5,1
5,Hunter Henry,TE,TE,8.0,9.94,91.0,609682_5,1
6,Phillip Lindsay,RB,W/R/T,8.6,11.96,70.0,609682_5,1
7,Ben Roethlisberger,QB,Q/W/R/T,11.74,19.77,29.0,609682_5,1
8,Melvin Gordon III,RB,BN,0.0,0.0,5.0,609682_5,1
9,Royce Freeman,RB,BN,6.6,7.41,12.0,609682_5,1
10,Trey Burton,TE,BN,0.0,0.0,3.0,609682_5,1
11,Tyrell Williams,WR,BN,22.5,9.54,14.0,609682_5,1
12,Greg Zuerlein,K,K,15.0,9.69,99.0,609682_5,1
13,New Orleans,DEF,DEF,7.0,7.16,41.0,609682_5,1
0,Deshaun Watson,QB,QB,32.72,22.55,95.0,609682_6,1
1,Odell Beckham Jr.,WR,WR,10.6,15.88,99.0,609682_6,1
2,Mike Evans,WR,WR,3.8,16.01,96.0,609682_6,1
3,Devonta Freeman,RB,RB,2.6,14.31,90.0,609682_6,1
4,Marlon Mack,RB,RB,28.4,11.72,73.0,609682_6,1
5,Jared Cook,TE,TE,4.7,9.56,86.0,609682_6,1
6,Josh Jacobs,RB,W/R/T,23.8,11.97,69.0,609682_6,1
7,Matt Ryan,QB,Q/W/R/T,20.56,19.7,67.0,609682_6,1
8,Tyler Lockett,WR,BN,11.9,11.52,82.0,609682_6,1
9,Tyler Boyd,WR,BN,10.3,12.05,72.0,609682_6,1
10,Rashaad Penny,RB,BN,1.8,9.44,11.0,609682_6,1
11,Sammy Watkins,WR,BN,46.3,10.53,35.0,609682_6,1
12,Robbie Gould,K,K,12.0,8.8,65.0,609682_6,1
13,Los Angeles,DEF,DEF,2.0,7.99,85.0,609682_6,1
