,UniqueID,TeamID,Week,RealScore,ProjScore
0,609682_1,1,1,154.58,147.17
2,609682_2,2,1,122.44,137.35
4,609682_3,3,1,163.42,140.69
6,609682_4,4,1,135.64,145.17
8,609682_5,5,1,94.7,130.55
9,609682_6,6,1,141.18,138.49
7,609682_7,7,1,130.68,130.67
5,609682_8,8,1,134.96,134.66
3,609682_9,9,1,135.66,122.96
1,609682_10,10,1,128.38,135.96
0,609682_1,1,2,134.78,140.95
2,609682_2,2,2,96.14,139.33
4,609682_3,3,2,162.16,151.85
6,609682_4,4,2,119.64,141.11
8,609682_5,5,2,91.22,128.19
9,609682_6,6,2,118.46,139.61
7,609682_7,7,2,173.7,134.16
5,609682_8,8,2,114.3,140.42
3,609682_9,9,2,127.08,125.0
1,609682_10,10,2,98.28,134.44
0,609682_1,1,3,156.32,144.75
2,609682_2,2,3,115.56,130.51
4,609682_3,3,3,154.8,155.57
6,609682_4,4,3,145.48,142.57
8,609682_5,5,3,156.64,122.81
9,609682_6,6,3,127.1,137.17
7,609682_7,7,3,135.84,137.49
5,609682_8,8,3,147.8,141.66
3,609682_9,9,3,111.08,121.58
1,609682_10,10,3,142.82,138.89
0,609682_1,1,4,189.04,145.21
2,609682_2,2,4,96.72,127.69
4,609682_3,3,4,103.74,125.19
6,609682_4,4,4,116.9,139.05
8,609682_5,5,4,107.54,123.02
9,609682_6,6,4,87.68,129.88
7,609682_7,7,4,150.38,117.72
5,609682_8,8,4,99.0,134.39
3,609682_9,9,4,156.28,118.99
1,609682_10,10,4,129.6,129.8
0,609682_1,1,5,179.58,134.51
2,609682_2,2,5,139.48,121.69
4,609682_3,3,5,159.56,132.79
6,609682_4,4,5,90.98,122.35
8,609682_5,5,5,124.56,108.87
9,609682_6,6,5,160.34,132.51
7,609682_7,7,5,149.22,135.81
5,609682_8,8,5,115.58,129.27
3,609682_9,9,5,176.58,139.53
1,609682_10,10,5,162.78,123.18
0,609682_1,1,6,139.5,133.3
2,609682_2,2,6,115.72,113.35
4,609682_3,3,6,133.84,146.27
6,609682_4,4,6,69.22,95.84
8,609682_5,5,6,96.84,123.04
9,609682_6,6,6,161.94,132.57
7,609682_7,7,6,165.66,132.05
5,609682_8,8,6,109.3,132.78
3,609682_9,9,6,148.74,135.46
1,609682_10,10,6,103.52,115.33
0,609682_1,1,7,73.36,131.58
2,609682_2,2,7,124.48,115.93
4,609682_3,3,7,170.58,142.97
6,609682_4,4,7,85.5,125.81
8,609682_5,5,7,155.32,128.96
9,609682_6,6,7,105.58,137.22
7,609682_7,7,7,117.08,123.12
5,609682_8,8,7,126.3,128.1
3,609682_9,9,7,111.32,126.76
1,609682_10,10,7,141.74,134.77
0,609682_1,1,8,182.84,143.05
2,609682_2,2,8,128.96,118.69
4,609682_3,3,8,157.54,142.15
6,609682_4,4,8,103.0,122.17
8,609682_5,5,8,118.34,118.63
9,609682_6,6,8,121.06,115.14
7,609682_7,7,8,120.68,134.08
5,609682_8,8,8,87.04,129.48
3,609682_9,9,8,107.2,120.05
1,609682_10,10,8,157.56,132.67
0,609682_1,1,9,175.54,141.68
2,609682_2,2,9,70.24,106.23
4,609682_3,3,9,128.88,144.07
6,609682_4,4,9,131.26,107.93
8,609682_5,5,9,78.06,127.08
9,609682_6,6,9,182.5,138.32
7,609682_7,7,9,164.7,124.8
5,609682_8,8,9,117.96,126.84
3,609682_9,9,9,59.8,78.14
1,609682_10,10,9,119.54,136.05
0,609682_1,1,10,183.68,153.52
2,609682_2,2,10,61.6,120.96
4,609682_3,3,10,163.28,149.36
6,609682_4,4,10,135.42,123.41
8,609682_5,5,10,121.72,120.77
9,609682_6,6,10,115.8,134.36
7,609682_7,7,10,103.3,114.0
5,609682_8,8,10,107.02,102.71
3,609682_9,9,10,107.24,96.14
1,609682_10,10,10,133.26,118.23
0,609682_1,1,11,111.72,143.57
2,609682_2,2,11,119.94,119.33
4,609682_3,3,11,126.92,139.09
6,609682_4,4,11,115.4,111.33
8,609682_5,5,11,146.26,119.9
9,609682_6,6,11,104.1,136.37
7,609682_7,7,11,125.98,123.87
5,609682_8,8,11,125.6,127.67
3,609682_9,9,11,138.0,135.31
1,609682_10,10,11,102.74,103.32
0,609682_1,1,12,144.22,130.51
2,609682_2,2,12,96.92,109.91
4,609682_3,3,12,69.88,106.16
6,609682_4,4,12,124.42,113.68
8,609682_5,5,12,115.68,116.09
9,609682_6,6,12,95.66,139.4
7,609682_7,7,12,165.92,136.3
5,609682_8,8,12,122.44,123.25
3,609682_9,9,12,134.42,129.45
1,609682_10,10,12,142.76,129.77
