,UniqueID,LeagueId,LeagueName,Order,TeamId,TeamName,RealScore,ProjScore,PctPlayed
10,729457_2,729457,NFC,1,2,Playing With Fire,12.9,8.8,24.0
11,729457_10,729457,NFC,2,10,Webster Bullyboyz,44.480000000000004,33.5,82.0
12,729457_6,729457,NFC,3,6,The Hooligans Return,19.599999999999998,23.85,124.0
13,729457_4,729457,NFC,4,4,Professor Chaos,32.8,34.82,230.0
14,729457_8,729457,NFC,5,8,The Ominious Fog,3.7,5.36,29.0
15,729457_7,729457,NFC,6,7,King of the Hill,20.740000000000002,40.39,165.0
16,729457_1,729457,NFC,7,1,Dr. R. Delicious,36.199999999999996,31.04,139.0
17,729457_9,729457,NFC,8,9,Indian Lions,12.1,6.1,27.0
18,729457_5,729457,NFC,9,5,Handyman,27.139999999999997,27.95,86.0
19,729457_11,729457,NFC,10,11,The Smelliots,34.32,27.18,71.0
