UniqueID,LeagueId,LeagueName,Order,TeamId,TeamName
910981_7,910981,AFC,1,7,Joe's Minions
910981_9,910981,AFC,2,9,Armchair Quarterback
910981_4,910981,AFC,3,4,Scotty Doesn't Know
910981_8,910981,AFC,4,8,Roger Rodgers!
910981_5,910981,AFC,5,5,Five Rings
910981_3,910981,AFC,6,3,Moose
910981_2,910981,AFC,7,2,Muddy Chicken Club
910981_1,910981,AFC,8,1,Living on a Prater
910981_10,910981,AFC,9,10,Lydia's Perfect Team
910981_11,910981,AFC,10,11,Meeseeks and Destroy
729457_2,729457,NFC,1,2,Playing With Fire
729457_10,729457,NFC,2,10,Webster Bullyboyz
729457_6,729457,NFC,3,6,The Hooligans Return
729457_4,729457,NFC,4,4,Professor Chaos
729457_8,729457,NFC,5,8,The Ominious Fog
729457_7,729457,NFC,6,7,King of the Hill
729457_1,729457,NFC,7,1,Dr. R. Delicious
729457_9,729457,NFC,8,9,Indian Lions
729457_5,729457,NFC,9,5,Handyman
729457_11,729457,NFC,10,11,The Smelliots
